id,name,genres
70kkdajctXSbqSMJbQO424,Kacey Musgraves,"classic texas country, contemporary country, country dawn"
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,"latin hip hop, reggaeton, trap latino, urbano latino"
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"piano rock, pop"
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,
1dfeR4HaWDbWqFHLkxsg1d,Queen,"classic rock, glam rock, rock"
0EmeFodog0BfCgMzAIvKQp,Shakira,"colombian pop, dance pop, latin pop, pop"
6Ghvu1VvMGScGpOUJBAHNH,Deftones,"alternative metal, nu metal, rap metal, rock, sacramento indie"
0RESbWvOMyua0yuyVrztJ5,Key Glock,"memphis hip hop, rap, southern hip hop, tennessee hip hop, trap"
23zg3TcAtWQy7J6upgbUnj,USHER,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,"conscious hip hop, hip hop, rap, west coast rap"
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,contemporary country
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,"art pop, pop"
7dGJo4pcD2V6oG8kP0tJRR,Eminem,"detroit hip hop, hip hop, rap"
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,"corridos tumbados, sad sierreno"
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,"atl hip hop, melodic rap, rap, trap"
55Aa2cqylxrFIXC767Z865,Lil Wayne,"hip hop, new orleans rap, pop rap, rap, trap"
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator","hip hop, rap"
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,"hip hop, melodic rap, philly rap, rage rap, rap, trap"
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,pop
2LRoIwlKmHjgvigdNGBHNo,Feid,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,"r&b, rap"
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,"dance pop, pop, uk pop"
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,"dance pop, pop"
790FomKkXshlbRYZFtlgla,KAROL G,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,"kentucky hip hop, r&b, rap"
6qxpnaukVayrQn6ViNvu9I,BigXthaPlug,southern hip hop
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,"british invasion, classic rock, merseybeat, psychedelic rock, rock"
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,"big room, dance pop, edm, pop, pop dance"
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,"cloud rap, emo rap, lgbtq+ hip hop"
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,"florida drill, florida rap, melodic rap, miami hip hop, rap, trap, trap latino"
63yrD80RY3RNEM2YDpUpO8,Melanie Martinez,"alt z, electropop, pop"
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,"country rap, nashville hip hop, tennessee hip hop"
2uYWxilOVlUdk4oV9DvwqK,Mitski,"brooklyn indie, pov: indie"
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,pop
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap"
3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,"album rock, classic rock, country rock, mellow gold, rock, southern rock, swamp rock"
31TPClRtHm23RisEBtV3X7,Justin Timberlake,"dance pop, pop"
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap"
3q7HBObVc0L8jNeTe5Gofh,50 Cent,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap"
6zLBxLdl60ekBLpawtT63I,Cody Johnson,"classic texas country, contemporary country, modern country pop"
5tQMB0cuNXdCtzovGt55uD,LUCKI,plugg
5INjqkS1o8h1imAzPqGZBb,Tame Impala,"australian psych, modern rock, neo-psychedelic, rock"
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,"hip hop, ohio hip hop, pop rap, rap"
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,"brooklyn drill, hip hop, rap"
